benchmark,cluster,ddrfreq,cpufreq,cpu_cycles,inst_retired,l1i_cache_refill,l1d_cache_refill,l2d_cache_refill,l3d_cache_refill,ll_cache_miss_rd,time_run,time_enabled
random_copy_28_25,0,534000000,408000,480282000.0,85799200.0,109969,5591460.0,6555010.0,3850010.0,3850010.0,4905150000.0,4905150000.0
random_copy_28_25,0,534000000,600000,1634340000.0,277767000.0,93576,17998300.0,21661900.0,11959400.0,11959400.0,4918290000.0,4918290000.0
random_copy_28_25,0,534000000,816000,2805080000.0,419281000.0,80789,27237400.0,32769200.0,17869600.0,17869600.0,4975710000.0,4975710000.0
random_copy_28_25,0,534000000,1008000,3915800000.0,514013000.0,68905,33281200.0,40241000.0,22079500.0,22079500.0,4982790000.0,4982790000.0
random_copy_28_25,0,534000000,1200000,5202430000.0,604052000.0,51774,39060000.0,47335800.0,25800000.0,25800000.0,4934650000.0,4934650000.0
random_copy_28_25,0,534000000,1416000,6230600000.0,648546000.0,44205,42103000.0,50841500.0,28060600.0,28060600.0,4949450000.0,4949450000.0
random_copy_28_25,0,534000000,1608000,7405890000.0,694910000.0,37188,45010200.0,54502600.0,30211700.0,30211700.0,4983490000.0,4983490000.0
random_copy_28_25,0,534000000,1800000,8480890000.0,740416000.0,39876,47924600.0,58090300.0,31714200.0,31714200.0,4980260000.0,4980260000.0
random_copy_28_25,0,1320000000,408000,509173000.0,119110000.0,110692,7813070.0,9170020.0,5345120.0,5345120.0,4971800000.0,4971800000.0
random_copy_28_25,0,1320000000,600000,1670390000.0,375544000.0,94056,24324800.0,29309100.0,16178000.0,16178000.0,4975040000.0,4975040000.0
random_copy_28_25,0,1320000000,816000,2855770000.0,590367000.0,77544,38144200.0,46212200.0,24997400.0,24997400.0,4966670000.0,4966670000.0
random_copy_28_25,0,1320000000,1008000,3983000000.0,750051000.0,63634,48603500.0,58766600.0,31904400.0,31904400.0,4966770000.0,4966770000.0
random_copy_28_25,0,1320000000,1200000,5277230000.0,908668000.0,45645,58846500.0,71232500.0,38379400.0,38379400.0,4918180000.0,4918180000.0
random_copy_28_25,0,1320000000,1416000,6354290000.0,1018270000.0,39507,65663300.0,79843800.0,42865200.0,42865200.0,4978310000.0,4978310000.0
random_copy_28_25,0,1320000000,1608000,7531770000.0,1117270000.0,28465,72181800.0,87647000.0,47062000.0,47062000.0,4977250000.0,4977250000.0
random_copy_28_25,0,1320000000,1800000,8613120000.0,1203590000.0,20219,77807800.0,94429100.0,50219400.0,50219400.0,4976110000.0,4976110000.0
random_copy_28_25,0,1968000000,408000,504018000.0,114676000.0,110599,7467860.0,8815530.0,5070290.0,5070290.0,4959640000.0,4959640000.0
random_copy_28_25,0,1968000000,600000,1666850000.0,362086000.0,94232,23414300.0,28284100.0,15405500.0,15405500.0,4976750000.0,4976750000.0
random_copy_28_25,0,1968000000,816000,2840930000.0,555835000.0,73344,36087900.0,43496100.0,23821700.0,23821700.0,4883080000.0,4883080000.0
random_copy_28_25,0,1968000000,1008000,3976950000.0,708159000.0,64595,45693100.0,55460800.0,30310700.0,30310700.0,4972590000.0,4972590000.0
random_copy_28_25,0,1968000000,1200000,5267740000.0,853254000.0,46345,55178300.0,66883800.0,36095800.0,36095800.0,4919400000.0,4919400000.0
random_copy_28_25,0,1968000000,1416000,6335570000.0,943713000.0,39101,61141800.0,73998300.0,40195800.0,40195800.0,4966620000.0,4966620000.0
random_copy_28_25,0,1968000000,1608000,7513770000.0,1040160000.0,29859,67178600.0,81588100.0,43908600.0,43908600.0,4976330000.0,4976330000.0
random_copy_28_25,0,1968000000,1800000,8602240000.0,1116090000.0,22202,72191500.0,87578000.0,46787000.0,46787000.0,4984380000.0,4984380000.0
random_copy_28_25,0,2400000000,408000,500087000.0,115410000.0,110538,7503280.0,8878190.0,5230100.0,5230100.0,4953110000.0,4953110000.0
random_copy_28_25,0,2400000000,600000,1671850000.0,380012000.0,94229,24549000.0,29656000.0,16118600.0,16118600.0,4982740000.0,4982740000.0
random_copy_28_25,0,2400000000,816000,2848890000.0,583013000.0,130108,37839200.0,45649900.0,25135200.0,25135200.0,4978510000.0,4978510000.0
random_copy_28_25,0,2400000000,1008000,3980930000.0,756349000.0,64715,48862100.0,59239200.0,31974700.0,31974700.0,4973940000.0,4973940000.0
random_copy_28_25,0,2400000000,1200000,5293650000.0,922127000.0,49579,60065700.0,72304400.0,38465300.0,38465300.0,4978130000.0,4978130000.0
random_copy_28_25,0,2400000000,1416000,6349790000.0,1028330000.0,39708,66791700.0,80646900.0,42789700.0,42789700.0,4975150000.0,4975150000.0
random_copy_28_25,0,2400000000,1608000,7548260000.0,1139070000.0,28502,73608200.0,89349500.0,47142300.0,47142300.0,4986170000.0,4986170000.0
random_copy_28_25,0,2400000000,1800000,8613050000.0,1190330000.0,20270,77207200.0,93389800.0,50653900.0,50653900.0,4975080000.0,4975080000.0
random_copy_28_25,1,534000000,408000,1482250000.0,935181000.0,84,37268600.0,69861400.0,38600500.0,38600500.0,4979160000.0,4979160000.0
random_copy_28_25,1,534000000,600000,2560820000.0,1181430000.0,137,47113800.0,88507600.0,49469500.0,49469500.0,4978600000.0,4978600000.0
random_copy_28_25,1,534000000,816000,3618080000.0,1567630000.0,64,62579800.0,117656000.0,64741600.0,64741600.0,4985870000.0,4985870000.0
random_copy_28_25,1,534000000,1008000,4600160000.0,1730930000.0,47,69155600.0,130043000.0,72138400.0,72138400.0,4978610000.0,4978610000.0
