benchmark,cluster,ddrfreq,cpufreq,inst_retired,cpu_cycles,l1d_cache_refill,l2d_cache_rd,l2d_cache_refill,l3d_cache_rd,l3d_cache_refill,time_run,time_enabled
random_copy_24_11,0,534000000,408000,1038810000.0,1944400000.0,43289400.0,48375100.0,42896600.0,42896500.0,6280.0,4976250000.0,4976250000.0
random_copy_24_11,0,534000000,600000,1563890000.0,2929080000.0,65301700.0,72991700.0,64621100.0,64621100.0,8972.0,4977710000.0,4977710000.0
random_copy_24_11,0,534000000,816000,2098290000.0,3932390000.0,87586400.0,97815200.0,86792500.0,86792500.0,7012.0,4980450000.0,4980450000.0
random_copy_24_11,0,534000000,1008000,2598120000.0,4891960000.0,108387000.0,121169000.0,108051000.0,108051000.0,2832.0,4974620000.0,4974620000.0
random_copy_24_11,0,534000000,1200000,3201150000.0,6020880000.0,133557000.0,149185000.0,131993000.0,131993000.0,3337.0,4979860000.0,4979860000.0
random_copy_24_11,0,534000000,1416000,3674510000.0,6936420000.0,153321000.0,171307000.0,151906000.0,151906000.0,6366.0,4975950000.0,4975950000.0
random_copy_24_11,0,534000000,1608000,4245060000.0,7999480000.0,177125000.0,197953000.0,175323000.0,175323000.0,2108.0,4990440000.0,4990440000.0
random_copy_24_11,0,534000000,1800000,4755790000.0,8950930000.0,198138000.0,221495000.0,196605000.0,196605000.0,2517.0,4977580000.0,4977580000.0
random_copy_24_11,0,1320000000,408000,1038140000.0,1944370000.0,43353300.0,48451900.0,42900700.0,42900700.0,6068.0,4975610000.0,4975610000.0
random_copy_24_11,0,1320000000,600000,1561300000.0,2925690000.0,65175600.0,72814600.0,64603100.0,64603000.0,4057.0,4969210000.0,4969210000.0
random_copy_24_11,0,1320000000,816000,2097750000.0,3930620000.0,87499300.0,97808700.0,86780500.0,86780500.0,6236.0,4978470000.0,4978470000.0
random_copy_24_11,0,1320000000,1008000,2605190000.0,4893730000.0,108475000.0,121234000.0,107696000.0,107696000.0,27391.0,4976400000.0,4976400000.0
random_copy_24_11,0,1320000000,1200000,3196720000.0,6022400000.0,133438000.0,149138000.0,132349000.0,132349000.0,3327.0,4980640000.0,4980640000.0
random_copy_24_11,0,1320000000,1416000,3686220000.0,6959810000.0,153640000.0,171650000.0,152647000.0,152647000.0,3244.0,4990520000.0,4990520000.0
random_copy_24_11,0,1320000000,1608000,4235630000.0,7982050000.0,176676000.0,197481000.0,175064000.0,175064000.0,5543.0,4979320000.0,4979320000.0
random_copy_24_11,0,1320000000,1800000,4747130000.0,8928890000.0,197567000.0,220726000.0,195736000.0,195736000.0,18471.0,4965710000.0,4965710000.0
random_copy_24_11,0,1968000000,408000,1037520000.0,1943730000.0,43231000.0,48318800.0,42939000.0,42939000.0,3167.0,4976120000.0,4976120000.0
random_copy_24_11,0,1968000000,600000,1563250000.0,2929200000.0,65108400.0,72801100.0,64702800.0,64702800.0,2862.0,4977070000.0,4977070000.0
random_copy_24_11,0,1968000000,816000,2099990000.0,3934690000.0,87651500.0,97960800.0,86815300.0,86815300.0,15924.0,4984400000.0,4984400000.0
random_copy_24_11,0,1968000000,1008000,2611940000.0,4901220000.0,108988000.0,121732000.0,107841000.0,107841000.0,2762.0,4984590000.0,4984590000.0
random_copy_24_11,0,1968000000,1200000,3194980000.0,6018410000.0,133308000.0,148917000.0,132275000.0,132274000.0,3965.0,4978180000.0,4978180000.0
random_copy_24_11,0,1968000000,1416000,3685550000.0,6955630000.0,153845000.0,171984000.0,152332000.0,152332000.0,2103.0,4988110000.0,4988110000.0
random_copy_24_11,0,1968000000,1608000,4231670000.0,7976900000.0,176132000.0,196816000.0,175046000.0,175046000.0,3315.0,4975630000.0,4975630000.0
random_copy_24_11,0,1968000000,1800000,4766690000.0,8970190000.0,198807000.0,222157000.0,196743000.0,196743000.0,8787.0,4987650000.0,4987650000.0
random_copy_24_11,0,2400000000,408000,1037720000.0,1945520000.0,43203700.0,48282700.0,43020600.0,43020600.0,7537.0,4979810000.0,4979810000.0
random_copy_24_11,0,2400000000,600000,1562250000.0,2929540000.0,65066300.0,72712300.0,64766700.0,64766700.0,3137.0,4977280000.0,4977280000.0
random_copy_24_11,0,2400000000,816000,2097340000.0,3928400000.0,87334500.0,97597200.0,86763400.0,86763400.0,6499.0,4977100000.0,4977100000.0
